Product_ID,Product_Name,Product_Category,Product_Cost,Product_Price
1,Classic Board Game,Building Blocks,11.86,23.39
2,Pro Puzzle Pack,Arts & Crafts,8.36,15.54
3,Retro Princess Doll,Building Blocks,7.93,11.1
4,Deluxe Builder Set,Baby & Toddler,7.93,16.54
5,Smart Art Kit,Plush,21.51,29.41
6,Retro Science Lab,Action Figures,13.76,29.92
7,Pro Explorer Kit #7,Baby & Toddler,6.97,10.49
8,Classic Racing Car,Toy Vehicles,12.16,18.31
9,Rainbow Board Game,Baby & Toddler,10.31,17.7
10,Smart Space Ship,Board Games,3.15,5.03
11,Mini Farm Set,Building Blocks,5.17,8.26
12,Galaxy Castle,Building Blocks,10.73,17.83
13,Deluxe Explorer Kit,Toy Vehicles,20.21,30.71
14,Rocket Princess Doll #14,Building Blocks,7.97,14.24
15,Galaxy Sticker Book,Outdoor Play,6.69,12.49
16,Mini Robot,STEM Kits,9.59,14.34
17,Magic Princess Doll,Arts & Crafts,6.49,12.54
18,Mega Farm Set,Arts & Crafts,7.69,13.26
19,Ocean Castle,Toy Vehicles,8.96,12.36
20,Galaxy Castle,Puzzles,5.04,10.7
21,Adventure Princess Doll #21,STEM Kits,14.19,22.92
22,Retro Art Kit,Puzzles,4.61,8.26
23,Ocean Farm Set,Puzzles,4.35,9.46
24,Retro Art Kit,Toy Vehicles,10.06,20.21
25,Deluxe Art Kit,Educational,13.55,19.31
26,Rainbow Farm Set,Dolls,9.92,15.04
27,Mini Science Lab,Toy Vehicles,8.47,14.23
28,Smart Drone Toy #28,Educational,7.65,12.09
29,Ocean Puzzle Pack,Pretend Play,7.01,11.14
30,Eco Art Kit,Toy Vehicles,16.14,29.23
31,Neo Music Toy,Toy Vehicles,10.79,15.25
32,Galaxy Art Kit,Pretend Play,7.3,15.98
33,City Drone Toy,Board Games,6.22,8.43
34,Deluxe Plush Bear,Plush,12.63,25.8
35,Glow Music Toy #35,Board Games,15.91,31.91
36,Rocket Farm Set,Plush,15.06,21.28
37,City Board Game,Card Games,5.69,11.86
38,Mega Card Deck,Action Figures,7.61,14.31
39,Rainbow Plush Bear,Toy Vehicles,6.93,11.19
40,Dino Racing Car,Outdoor Play,8.15,13.26
41,Classic Board Game,Card Games,14.11,29.69
42,City Plush Bear #42,Puzzles,19.03,33.33
43,City Action Hero,Outdoor Play,11.01,21.98
44,Eco Castle,STEM Kits,6.33,11.57
45,Retro Stacking Blocks,Puzzles,8.85,15.88
46,Rainbow Drone Toy,Action Figures,21.34,36.56
47,Mega Castle,Action Figures,9.47,15.31
48,Pro Robot,Outdoor Play,7.66,13.65
49,Neo Princess Doll #49,Arts & Crafts,8.0,13.59
50,Jungle Princess Doll,Plush,10.98,21.87
51,Eco Drone Toy,Board Games,5.79,12.39
52,Adventure Stacking Blocks,Puzzles,6.85,13.95
53,Smart Card Deck,Baby & Toddler,14.93,30.35
54,Magic Farm Set,STEM Kits,10.81,16.31
55,Ocean Stacking Blocks,Collectibles,9.52,19.39
56,Mega Art Kit #56,Card Games,15.38,32.48
57,Mini Space Ship,Arts & Crafts,6.13,9.46
58,Neo Card Deck,Action Figures,7.54,12.92
59,Neo Art Kit,Arts & Crafts,10.62,14.4
60,Mini Robot,Action Figures,10.42,18.59
61,Mini Robot,Arts & Crafts,4.14,6.01
62,Mini Stacking Blocks,Educational,7.16,11.72
63,Adventure Drone Toy #63,Arts & Crafts,8.26,14.79
64,Retro Puzzle Pack,STEM Kits,11.27,21.95
65,Pro Drone Toy,Model Kits,10.4,22.55
66,Smart Plush Bear,Baby & Toddler,8.66,13.54
67,Dino Castle,Building Blocks,3.14,5.0
68,Dino Explorer Kit,Baby & Toddler,8.89,12.28
69,Mega Robot,Dolls,9.33,13.0
70,Rainbow Plush Bear #70,Pretend Play,34.98,55.51
71,Smart Science Lab,Arts & Crafts,8.12,11.96
72,Eco Music Toy,Card Games,10.65,18.81
73,Adventure Explorer Kit,Puzzles,16.92,26.26
